obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('74',)",33.4682006836,1,0,1029.14799881,29,29,2,3.34682006836,29,13,3724598986.37,3724598986.48,3659559264.26,44.36829,-124.9528,0.0,34.0781514936,29,29,internal_timestamp,493.829986572,29,29,259332,1450570464,5.66249990463,29,29,3659559264.26
"('75',)",33.4752006531,1,0,1029.14340454,29,29,2,3.34752006531,29,13,3724598986.37,3724598986.48,3659559275.26,44.36829,-124.9528,0.0,34.0781933604,29,29,internal_timestamp,493.059997559,29,29,263720,1450570475,5.67070007324,29,29,3659559275.26
"('76',)",33.4800987244,1,0,1029.13829354,29,29,2,3.34800987244,29,13,3724598986.37,3724598986.48,3659559286.26,44.36829,-124.9528,0.0,34.0774836264,29,29,internal_timestamp,492.260009766,29,29,260541,1450570486,5.67729997635,29,29,3659559286.26
"('77',)",33.4911003113,1,0,1029.13273969,29,29,2,3.34911003113,29,13,3724598986.37,3724598986.48,3659559297.26,44.36829,-124.9528,0.0,34.0773375437,29,29,internal_timestamp,491.450012207,29,29,263801,1450570497,5.69019985199,29,29,3659559297.26
"('78',)",33.495300293,1,0,1029.1278057,29,29,2,3.3495300293,29,13,3724598986.37,3724598986.48,3659559308.26,44.36829,-124.9528,0.0,34.0768592835,29,29,internal_timestamp,490.619995117,29,29,256747,1450570508,5.69579982758,29,29,3659559308.26
"('79',)",33.501701355,1,0,1029.12228022,29,29,2,3.3501701355,29,13,3724598986.37,3724598986.48,3659559319.26,44.36829,-124.9528,0.0,34.0766029615,29,29,internal_timestamp,489.690002441,29,29,261585,1450570519,5.70370006561,29,29,3659559319.26
"('80',)",33.5068016052,1,0,1029.1165572,29,29,2,3.35068016052,29,13,3724598986.37,3724598986.48,3659559330.27,44.36829,-124.9528,0.0,34.0763251219,29,29,internal_timestamp,488.679992676,29,29,267818,1450570530,5.71019983292,29,29,3659559330.27
"('81',)",33.5158004761,1,0,1029.10878789,29,29,2,3.35158004761,29,13,3724598986.37,3724598986.48,3659559341.26,44.36829,-124.9528,0.0,34.074409232,29,29,internal_timestamp,487.679992676,29,29,262636,1450570541,5.72270011902,29,29,3659559341.26
"('82',)",33.5203018188,1,0,1029.10301925,29,29,2,3.35203018188,29,13,3724598986.37,3724598986.48,3659559352.27,44.36829,-124.9528,0.0,34.0742883575,29,29,internal_timestamp,486.609985352,29,29,267952,1450570552,5.72840023041,29,29,3659559352.27
"('83',)",33.521900177,1,0,1029.09803562,29,29,2,3.3521900177,29,13,3724598986.37,3724598986.48,3659559363.26,44.36829,-124.9528,0.0,34.0743949514,29,29,internal_timestamp,485.570007324,29,29,264406,1450570563,5.73059988022,29,29,3659559363.26
"('84',)",33.5242996216,1,0,1029.09239224,29,29,2,3.35242996216,29,13,3724598986.37,3724598986.48,3659559374.27,44.36829,-124.9528,0.0,34.0741180298,29,29,internal_timestamp,484.489990234,29,29,270596,1450570574,5.73409986496,29,29,3659559374.27
"('85',)",33.5237007141,1,0,1029.08804631,29,29,2,3.35237007141,29,13,3724598986.37,3724598986.48,3659559385.26,44.36829,-124.9528,0.0,34.0745591189,29,29,internal_timestamp,483.450012207,29,29,264931,1450570585,5.73350000381,29,29,3659559385.26
"('86',)",33.5238990784,1,0,1029.08179288,29,29,2,3.35238990784,29,13,3724598986.37,3724598986.48,3659559396.27,44.36829,-124.9528,0.0,34.0738674081,29,29,internal_timestamp,482.25,29,29,271385,1450570596,5.73500013351,29,29,3659559396.27
