obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('77',)",3.61410999298,29,13,1026.26835925,29,13,4,3716294556.31,3716294610.36,3692505531.5,44.6389,-124.2990333,0.0,internal_timestamp,69.422996521,29,13,1483516731.5,33.5788002014,29,29,0,9.35490036011,29,29,3692505531.5
"('78',)",3.61410999298,29,13,1026.26838011,29,13,4,3716294556.31,3716294610.37,3692505531.57,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516731.57,33.5788002014,29,29,0,9.3548002243,29,29,3692505531.57
"('79',)",3.61410999298,29,13,1026.26838923,29,13,4,3716294556.31,3716294610.37,3692505531.63,44.6389,-124.2990333,0.0,internal_timestamp,69.4260025024,29,13,1483516731.63,33.5788002014,29,29,0,9.3548002243,29,29,3692505531.63
"('80',)",3.61410999298,29,13,1026.26828633,29,13,4,3716294556.31,3716294610.37,3692505531.69,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516731.69,33.5787010193,29,29,0,9.35490036011,29,29,3692505531.69
"('81',)",3.61410999298,29,13,1026.26827718,29,13,4,3716294556.31,3716294610.37,3692505531.75,44.6389,-124.2990333,0.0,internal_timestamp,69.4219970703,29,13,1483516731.75,33.5787010193,29,29,0,9.35490036011,29,29,3692505531.75
"('82',)",3.61412000656,29,13,1026.26837296,29,13,4,3716294556.31,3716294610.37,3692505531.82,44.6389,-124.2990333,0.0,internal_timestamp,69.4260025024,29,13,1483516731.82,33.5788002014,29,29,0,9.35490036011,29,29,3692505531.82
"('83',)",3.61412000656,29,13,1026.26835925,29,13,4,3716294556.31,3716294610.37,3692505531.88,44.6389,-124.2990333,0.0,internal_timestamp,69.422996521,29,13,1483516731.88,33.5788002014,29,29,0,9.35490036011,29,29,3692505531.88
"('84',)",3.61412000656,29,13,1026.26835925,29,13,4,3716294556.31,3716294610.37,3692505531.94,44.6389,-124.2990333,0.0,internal_timestamp,69.422996521,29,13,1483516731.94,33.5788002014,29,29,0,9.35490036011,29,29,3692505531.94
"('85',)",3.61412000656,29,13,1026.26844136,29,13,4,3716294556.31,3716294610.37,3692505532.0,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516732.0,33.5788993835,29,29,0,9.35490036011,29,29,3692505532.0
"('86',)",3.61412000656,29,13,1026.26846674,29,13,4,3716294556.31,3716294610.37,3692505532.07,44.6389,-124.2990333,0.0,internal_timestamp,69.4260025024,29,13,1483516732.07,33.5788993835,29,29,0,9.3548002243,29,29,3692505532.07
"('87',)",3.61412000656,29,13,1026.26847845,29,13,4,3716294556.31,3716294610.37,3692505532.13,44.6389,-124.2990333,0.0,internal_timestamp,69.4250030518,29,13,1483516732.13,33.5788993835,29,29,0,9.3547000885,29,29,3692505532.13
"('88',)",3.6140999794,29,13,1026.26857223,29,13,4,3716294556.31,3716294610.37,3692505532.19,44.6389,-124.2990333,0.0,internal_timestamp,69.4250030518,29,13,1483516732.19,33.5789985657,29,29,0,9.3545999527,29,29,3692505532.19
"('89',)",3.61408996582,29,13,1026.26862103,29,13,4,3716294556.31,3716294610.37,3692505532.25,44.6389,-124.2990333,0.0,internal_timestamp,69.4250030518,29,13,1483516732.25,33.5789985657,29,29,0,9.35429954529,29,29,3692505532.25
"('90',)",3.61406993866,29,13,1026.26874301,29,13,4,3716294556.31,3716294610.37,3692505532.32,44.6389,-124.2990333,0.0,internal_timestamp,69.4270019531,29,13,1483516732.32,33.5791015625,29,29,0,9.35410022736,29,29,3692505532.32
"('91',)",3.61405992508,29,13,1026.26877555,29,13,4,3716294556.31,3716294610.37,3692505532.38,44.6389,-124.2990333,0.0,internal_timestamp,69.4270019531,29,13,1483516732.38,33.5791015625,29,29,0,9.35389995575,29,29,3692505532.38
"('92',)",3.61405992508,29,13,1026.26887844,29,13,4,3716294556.31,3716294610.37,3692505532.44,44.6389,-124.2990333,0.0,internal_timestamp,69.4290008545,29,13,1483516732.44,33.5792007446,29,29,0,9.35379981995,29,29,3692505532.44
"('93',)",3.61405992508,29,13,1026.26886933,29,13,4,3716294556.31,3716294610.37,3692505532.5,44.6389,-124.2990333,0.0,internal_timestamp,69.4270019531,29,13,1483516732.5,33.5792007446,29,29,0,9.35379981995,29,29,3692505532.5
"('94',)",3.61405992508,29,13,1026.26887388,29,13,4,3716294556.31,3716294610.37,3692505532.57,44.6389,-124.2990333,0.0,internal_timestamp,69.4280014038,29,13,1483516732.57,33.5792007446,29,29,0,9.35379981995,29,29,3692505532.57
"('95',)",3.61406993866,29,13,1026.26884395,29,13,4,3716294556.31,3716294610.37,3692505532.63,44.6389,-124.2990333,0.0,internal_timestamp,69.4250030518,29,13,1483516732.63,33.5792007446,29,29,0,9.35389995575,29,29,3692505532.63
"('96',)",3.61407995224,29,13,1026.26882312,29,13,4,3716294556.31,3716294610.37,3692505532.69,44.6389,-124.2990333,0.0,internal_timestamp,69.4240036011,29,13,1483516732.69,33.5792007446,29,29,0,9.35400009155,29,29,3692505532.69
"('97',)",3.61407995224,29,13,1026.26880227,29,13,4,3716294556.31,3716294610.37,3692505532.75,44.6389,-124.2990333,0.0,internal_timestamp,69.422996521,29,13,1483516732.75,33.5792007446,29,29,0,9.35410022736,29,29,3692505532.75
"('98',)",3.61408996582,29,13,1026.26879771,29,13,4,3716294556.31,3716294610.37,3692505532.82,44.6389,-124.2990333,0.0,internal_timestamp,69.4219970703,29,13,1483516732.82,33.5792007446,29,29,0,9.35410022736,29,29,3692505532.82
